date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:19	79380/79380	---M--	200	added ('OK')	image/jpeg	etag:W/%221480d-7uPuhSEon+zXP3/adG1lFyw5zwc%22	https://mediaprocessor.websimages.com/width/328/crop/0,0,327x246/www.abbottsannnursery.co.uk/Hall%20Sept%202020-1.jpg	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/328/crop/0,0,327x246/www.abbottsannnursery.co.uk/Hall%20Sept%202020-1.jpg	(from https://www.abbottsannnursery.co.uk/)
00:33:20	262483/262483	---M--	200	added ('OK')	application/pdf	date:Tue,%2029%20Jun%202021%2023:33:21%20GMT	https://www.abbottsannnursery.co.uk/Settling%20in%20during%20Coronavirus%20Sept%202020.pdf	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/Settling%20in%20during%20Coronavirus%20Sept%202020.pdf	(from https://www.abbottsannnursery.co.uk/)
00:33:20	191458/191458	---M--	200	added ('OK')	image/png	etag:W/%2233f88-lHDW0f9s4qxWzWAGVGMxitBs0bE%22	https://mediaprocessor.websimages.com/width/590/crop/0,0,590x417/www.abbottsannnursery.co.uk/Sept%2021%20places%20ad.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/590/crop/0,0,590x417/www.abbottsannnursery.co.uk/Sept%2021%20places%20ad.png	(from https://www.abbottsannnursery.co.uk/)
00:33:20	6717/6717	---M--	200	added ('OK')	image/png	etag:W/%221a52-bLndhD4tIltZe89Tlp5+0vFT1zo%22	https://mediaprocessor.websimages.com/width/71/crop/0,0,71x65/www.abbottsannnursery.co.uk/Website%20early%20years%20alliance.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/71/crop/0,0,71x65/www.abbottsannnursery.co.uk/Website%20early%20years%20alliance.png	(from https://www.abbottsannnursery.co.uk/)
00:33:20	2813/2813	---M--	200	added ('OK')	image/png	etag:W/%22b12-bzPODG4+cv00M0MiAGxFaDyTyrA%22	https://mediaprocessor.websimages.com/width/42/crop/0,0,42x42/www.abbottsannnursery.co.uk/Ofsted_Good.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/42/crop/0,0,42x42/www.abbottsannnursery.co.uk/Ofsted_Good.png	(from https://www.abbottsannnursery.co.uk/)
00:33:20	1819/1819	---M--	200	added ('OK')	image/png	etag:W/%22730-gZNQzGOeXZKOrgrfLy+YjzrcmjI%22	https://mediaprocessor.websimages.com/width/76/crop/0,0,76x14/www.abbottsannnursery.co.uk/easyfundraising-logo-1.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/76/crop/0,0,76x14/www.abbottsannnursery.co.uk/easyfundraising-logo-1.png	(from https://www.abbottsannnursery.co.uk/)
00:33:21	4090/4090	---M--	200	added ('OK')	image/png	etag:W/%22108b-36R8uQgOZDBySvxrYhHG2JO6d9M%22	https://mediaprocessor.websimages.com/width/56/crop/0,0,56x37/www.abbottsannnursery.co.uk/Find+us+on+netmums.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/56/crop/0,0,56x37/www.abbottsannnursery.co.uk/Find+us+on+netmums.png	(from https://www.abbottsannnursery.co.uk/)
00:33:21	2728/2728	---M--	200	added ('OK')	image/png	etag:W/%22abd-pjYol72TOMyNg9w1AqflbUZ5A64%22	https://mediaprocessor.websimages.com/width/46/crop/0,0,46x46/www.abbottsannnursery.co.uk/mumsnet-logo-square.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/width/46/crop/0,0,46x46/www.abbottsannnursery.co.uk/mumsnet-logo-square.png	(from https://www.abbottsannnursery.co.uk/)
00:33:21	1406/1406	---MCZ	200	added ('OK')	application/javascript	etag:W/%2270b-5c3d82f08a040-gzip%22	https://static.websimages.com/active-static/target/stats/collector.js	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/active-static/target/stats/collector.js	(from https://www.abbottsannnursery.co.uk/)
00:33:22	13614/13614	---MCZ	200	added ('OK')	text/javascript	etag:W/%225753bdd2-d310-49fa-bd2b-065a8e512116%22	https://static.cloudflareinsights.com/beacon.min.js	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/beacon.min.js	(from https://www.abbottsannnursery.co.uk/)
00:33:22	206/206	---M--	200	added ('OK')	image/png	etag:%22163-5c3d821531ac0%22	https://static.websimages.com/static/projects/finch/themes/app_search_ie.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/static/projects/finch/themes/app_search_ie.png	(from https://www.abbottsannnursery.co.uk/.theme.css?pubDate=210622034123)
00:33:22	198/198	---M--	200	added ('OK')	image/png	etag:%22444-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/u_shadow.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/u_shadow.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:22	349/349	---M--	200	added ('OK')	image/png	etag:%224ee-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/papershade.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/papershade.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:22	8406/8406	---M--	200	added ('OK')	image/png	etag:%2233b7-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/tape.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/tape.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:23	6917/6917	---M--	200	added ('OK')	image/png	etag:%223216-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/album-noise.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/album-noise.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:23	764/764	---M--	200	added ('OK')	image/png	etag:%22692-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/album-binder.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/album-binder.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:23	1604/1604	---M--	200	added ('OK')	image/png	etag:%22997-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/thumbtack.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/thumbtack.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:23	13332/13332	---M--	200	added ('OK')	image/png	etag:%223e82-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/frames/photo-corners.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/frames/photo-corners.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:24	364/364	---M--	200	added ('OK')	image/png	etag:%224c5-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/icon_sets/standard/alert.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/icon_sets/standard/alert.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:24	275/275	---M--	200	added ('OK')	image/png	etag:%22483-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/icon_sets/standard/lock.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/icon_sets/standard/lock.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:24	462/462	---M--	200	added ('OK')	image/png	etag:%22516-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/icon_sets/standard/speech.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/icon_sets/standard/speech.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:24	519/519	---M--	200	added ('OK')	image/png	etag:%22536-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/icon_sets/standard/user.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/icon_sets/standard/user.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
00:33:25	581/581	---M--	200	added ('OK')	image/png	etag:%2259e-5c3d821531ac0%22	https://static.websimages.com/v3f9b7d8/static/projects/finch/images/icon_sets/standard/world.png	C:/Users/am1190-admin/Desktop/AANSv2/AANS%20v2/v3f9b7d8/static/projects/finch/images/icon_sets/standard/world.png	(from https://static.websimages.com/v3f9b7d8/static/projects/finch/css/sitebase.css)
